deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
160600,Arthur Oliveira Maia,54,56,M,0.0,3.9074932244178144e-11,129
160601,Pr. Marco Feliciano,54,56,M,0.0006683261130667446,0.09432156017250544,112
160604,Pedro Uczai,54,56,M,0.0,3.9074932244178144e-11,174
160610,Valmir Assuncao,54,56,M,0.0,3.9074932244178144e-11,260
160619,Jose Nunes,54,56,M,0.0,3.9074932244178144e-11,114
160632,Ze Silva,54,56,M,0.00018109327847498603,0.015378917747474952,256
160635,Ruy Carneiro,54,56,M,0.0,3.9074932244178144e-11,0
160639,Professora Dorinha Seabra Rezende,54,56,F,0.0,3.9074932244178144e-11,175
160640,Eros Biondini,54,56,M,0.0,3.9074932244178144e-11,252
160641,Professora Marcivania,54,56,F,0.0,3.9074932244178144e-11,125
160642,Pastor Eurico,54,56,M,0.0,3.9074932244178144e-11,169
160645,Luiz Carlos,54,56,M,0.0,3.9074932244178144e-11,0
160651,Rogerio Peninha Mendonca,54,56,M,0.0,3.9074932244178144e-11,156
160653,Roberto de Lucena,54,56,M,0.0,3.9074932244178144e-11,56
160655,Ricardo Izar,54,56,M,0.0,3.9074932244178144e-11,233
160665,Augusto Coutinho,54,56,M,0.0,3.9074932244178144e-11,187
160666,Felix Mendonca Junior,54,56,M,0.0,3.9074932244178144e-11,223
160667,Guilherme Mussi,54,56,M,0.0,3.9074932244178144e-11,172
160669,Genecias Noronha,54,56,M,0.0,3.9074932244178144e-11,162
160673,Giovani Cherini,54,56,M,0.0,3.9074932244178144e-11,127
160674,Hugo Motta,54,56,M,0.0,3.9074932244178144e-11,163
160758,Domingos Savio,54,56,M,0.0,3.9074932244178144e-11,233
160976,Tiririca,54,56,M,0.0,3.9074932244178144e-11,137
162332,Luiz Nishimori,54,56,M,0.0,3.9074932244178144e-11,236
164359,Delegado Waldir,54,56,M,0.0,3.9074932244178144e-11,43
164360,Carmen Zanotto,54,56,F,0.0,3.9074932244178144e-11,180
166402,Magda Mofatto,54,56,F,0.0,3.9074932244178144e-11,88
171617,Paulao,54,56,M,0.0,3.9074932244178144e-11,121
171619,Margarida Salomao,54,56,F,0.0,3.9074932244178144e-11,88
171623,Fabio Reis,54,56,M,0.0,3.9074932244178144e-11,166
177282,Subtenente Gonzaga,54,56,M,0.0,3.9074932244178144e-11,244
178829,Capitao Augusto,55,56,M,0.0,3.9074932244178144e-11,160
178831,Andre Abdon,55,56,M,0.0,3.9074932244178144e-11,246
178832,Leandre,55,56,F,0.0,3.9074932244178144e-11,107
178833,Alexandre Serfiotis,55,56,M,0.0,3.9074932244178144e-11,144
178835,Afonso Motta,54,56,M,0.0,3.9074932244178144e-11,55
178836,Alan Rick,55,56,M,0.0,3.9074932244178144e-11,245
178839,Jessica Sales,55,56,F,0.0,3.9074932244178144e-11,133
178842,Jhc,55,56,M,0.0,3.9074932244178144e-11,200
178843,Marx Beltrao,55,56,M,0.0,3.9074932244178144e-11,181
178854,Elmar Nascimento,55,56,M,0.0017602998062691473,0.11368174731264515,61
178857,Jorge Solla,55,56,M,0.0,3.9074932244178144e-11,196
178858,Mario Negromonte Jr.,55,56,M,0.0,3.9074932244178144e-11,218
178860,Paulo Azi,55,56,M,0.0021194757914341817,0.02230382526287976,52
178861,Ronaldo Carletto,55,56,M,0.0010012896403174929,0.10471497393770517,83
178863,Uldurico Junior,55,56,M,0.0,3.9074932244178144e-11,228
178866,Luizianne Lins,55,56,F,0.0,3.9074932244178144e-11,75
178871,Evair Vieira de Melo,55,56,M,0.0,3.9074932244178144e-11,262
178873,Helder Salomao,55,56,M,0.0,3.9074932244178144e-11,54
178874,Sergio Vidigal,55,56,M,0.0,3.9074932244178144e-11,231
178876,Celio Silveira,55,56,M,0.0,3.9074932244178144e-11,171
178879,Lucas Vergilio,55,56,M,0.0,3.9074932244178144e-11,146
178881,Aluisio Mendes,55,56,M,0.0,3.9074932244178144e-11,135
178882,Andre Fufuca,55,56,M,0.0,3.9074932244178144e-11,98
178884,Hildo Rocha,55,56,M,0.0,3.9074932244178144e-11,148
178886,Juscelino Filho,55,56,M,0.0,3.9074932244178144e-11,52
178887,Rubens Pereira Junior,55,56,M,0.0,3.9074932244178144e-11,242
178889,Ze Carlos,55,56,M,0.0,3.9074932244178144e-11,204
178895,Misael Varella,55,56,M,0.0,3.9074932244178144e-11,129
178896,Newton Cardoso Jr,55,56,M,0.0,3.9074932244178144e-11,189
178908,Delegado Eder Mauro,55,56,M,0.0,3.9074932244178144e-11,167
178909,Helio Leite,55,56,M,0.002063125066296232,0.3698949183718748,117
178910,Joaquim Passarinho,55,56,M,0.00022377012506481333,5.6658651754058335e-09,155
178912,Pedro Cunha Lima,55,56,M,0.0,3.9074932244178144e-11,122
178916,Daniel Coelho,55,56,M,0.0,3.9074932244178144e-11,121
178920,Ricardo Teobaldo,55,56,M,0.0,3.9074932244178144e-11,107
178921,Sebastiao Oliveira,55,56,M,0.0,3.9074932244178144e-11,8
178922,Tadeu Alencar,55,56,M,0.0,3.9074932244178144e-11,78
178924,Capitao Fabio Abreu,55,56,M,0.0,3.9074932244178144e-11,55
178925,Rejane Dias,55,56,F,0.0,3.9074932244178144e-11,19
178927,Aliel Machado,55,56,M,0.0,3.9074932244178144e-11,265
178928,Christiane de Souza Yared,55,56,F,0.0,3.9074932244178144e-11,127
178929,Diego Garcia,55,56,M,0.0,3.9074932244178144e-11,197
178930,Roman,55,56,M,0.0,3.9074932244178144e-11,259
178931,Luciano Ducci,55,56,M,0.0,3.9074932244178144e-11,107
178933,Sergio Souza,55,56,M,0.0,3.9074932244178144e-11,130
178934,Toninho Wandscheer,55,56,M,0.0,3.9074932244178144e-11,153
178937,Altineu Cortes,55,56,M,0.0,3.9074932244178144e-11,114
178939,Clarissa Garotinho,55,56,F,0.0,3.9074932244178144e-11,36
178945,Rosangela Gomes,55,56,F,0.0,3.9074932244178144e-11,108
